,Title,Review,Collections
0,March of the penguins,,"Science:Nature,Science,Nature"
1,saving private ryan,,"General Adventure,General Adventure:Randomness,Randomness"
2,Reservoir dogs,"Synopsis__:  a heist gone wrong due to a mole, varied responses to same situation from intelligent characters, surreal situations related non-linearly
Comments__:  this is art, 4/4.","General Adventure,General Adventure:Randomness,Randomness"
3,Pulp fiction,"Synopsis__:  much stylish violence, gripping dialogues from intelligent characters and surreal situations related non-linearly
Comments__:  this is art, 4/4.","General Adventure,General Adventure:Randomness,Randomness"
4,lost in africa,"Synopsis__:  native tribesman avenging father in savanna with spear and lion
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
5,indiana jones raiders of the lost arc,,"General Adventure,General Adventure:Randomness,Randomness"
6,ice age,,"General Adventure,General Adventure:Randomness,Randomness"
7,the rock,"Synopsis__:  mi6 agent leads agents back to old prison
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
8,phone booth,"Synopsis__:  sniper tries to teach man morals the hard way
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
9,gangs of new york,"Synopsis__:  natives vs immigrants during civil war era.
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
10,rockstar,"Synopsis__:  stardom vs true self expression and love with great music.
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
11,Legends of the fall,"Synopsis__:  3 sons of an disenchanted American general live with a Red Indian, one of which has an Red Indian way of being, go to WW1, two return, take wives they knew, one bootlegs,the Indian son has adventures, looses wife to gangsters, gets vengence, dies a good death hunting. The Indian son, who lives by his irrational heart is compelling due to lack of inner conflict experienced by his upstanding American sibling - for he understands vengence and disregards bad laws.
Comments__: 4/4.","General Adventure,General Adventure:Randomness,Randomness"
12,duck tales,,"General Adventure,General Adventure:Randomness,Randomness"
13,teletubbies,"Synopsis__: very cute.
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
14,jungle book,,"General Adventure,General Adventure:Randomness,Randomness"
15,The croods,"Synopsis__: Caveman family who hate novelty and risk-taking change their mind after meeting an idea man.
Comments__:","General Adventure,General Adventure:Randomness,Randomness"
16,andromeda,"Synopsis__:  a spaceship with an AI and a crew surviving from a shattered commonwealth, involving varied political systems and races of bestial cannibals, genetically engineered survivors bent on the prosperity of their gene-pool, some mysterious super-powers - malign and benign
Comments__:","General Adventure,General Adventure:Space exploration,Space exploration"
17,Firefly,"Synopsis__: Watching the movie ""serenity"" suffices. Cliche.
Comments__:","General Adventure,General Adventure:Space exploration,Space exploration"
18,x files,,"General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
19,20000 leagues under the sea,,"General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
20,Inception,"Synopsis__:  master who conspires to share dreams his team creates in order to steal information or plant ideas does a tough job with 3+1 dream levels, good fantasy adventure
Comments__:  4/4.","General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
21,General,"Synopsis__: (Also see time travel.) Sometimes includes elements of space military/ startegy - especially at the level of a whole series, which is not as interesting to me as the varied characterizations, values and mannerisms one observes.
Comments__:","General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
22,adventures of pluto nash,"Synopsis__:  moon enterpreuner, gf and robot face evil clone
Comments__:","General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
23,hitchhiker's guide to the galaxy,,"General Adventure:Other Non-action Science fiction adventure,Other Non-action Science fiction adventure,General Adventure"
